NAME;CAPITAL;TOTAL_AREA_KM2;POPULATION;DENSITY_KM2;CONTINENT;URBAN_POPULATION;RURAL_POPULATION;CRUDE_OIL_BAR_DAY;OIL_RES_MIL_BAR;GAS_TONS;GAS_RES_MIL_M_3;GDP_MILLION_$;GDP_GROW_RATE;GDP_$_PER_CAPITA;DOCTORS;ILLITERACY;PRIMARY_SECTOR;SECONDARY_SECTOR;TERTIARY_SECTOR;PHONES_RATE;NATURAL_GROWTH;MEM_LIFE_EXP;WOMEN_LIFE_EXP;MAIN_SECTOR;MAIN_GROUP
Paraguay;Asuncion;406750;5503405;13,5;America ;53;47;;;;;0;4,2;3200;1693;;42;18;;0,02;6,6;64,8;69,1;Primary;Urban
Peru;Lima;1285220;24520945;19,1;America ;72;28;;;;;0;6,8;3600;1000;13;34;16;49;0,03;24,5;61,5;65,3;Tertiary ;Urban
Philippines ;Manila;300000;74899407;249,7;Asia;54;46;;;;;0;4,8;2530;1062;;41;48;36;;28,1;;;Secondary;Urban
Poland;Warsaw;312680;38932095;124,5;Europe;65;35;;;;;226700;6,5;5800;480;;27;33;34;0,12;4,8;66,8;75,5;Tertiary ;Urban
Portugal;Lisbon;92080;10600413;115,1;Europe;36;64;;;;;116200;2,8;11000;388;16;17;;46;0,23;2,2;70,6;77,6;Tertiary ;Rural
Qatar ;Doha;11000;548545;49,9;Asia;91;9;475000;3700;12200000;7100000;0;-1;20820;568;;3;29;66;0,24;29,3;65,2;67,6;Tertiary ;Urban
Romania ;Bucharest ;237500;23219208;97,8;Europe;55;45;;;;;105700;5,4;4600;551;;27;45;25;0,09;2,9;;;Secondary;Urban
Russia;Moscow;17075200;150208907;8,8;Europe;76;24;7160000;65500;602100000;57300000;796000;-4;5300;;;;;;;5,3;;;;Urban
Rwanda;Kigali;26340;8835069;335,4;Africa;6;94;;;;;3800;-2,7;400;33170;;91;3;4;0;34;46,9;50,2;Primary;Rural
Saint Kitts & Nevis ;Basseterre;269;41340;153,7;America ;42;58;;;;;0;3;5380;1593;10;29;17;31;0;11,5;64;70;Tertiary ;Rural
Saint Lucia ;Castries;620;157876;254,6;America ;48;52;;;;;0;2;4080;2432;9;33;13;52;;18,6;68,3;73,9;Tertiary ;Rural
Saint Vincent & Grenadines;Kingstown ;340;118107;347,4;America ;47;53;;;;;0;0,4;2060;2875;15;25;15;36;0,1;16,1;69;74;Tertiary ;Rural
San Marino;San Marino;60;24527;408,8;Europe;94;6;;;;;380;2,4;15800;375;2;2;41;42;0,64;2,6;70,7;76,2;Tertiary ;Urban
Sao Tome and Principe ;Sao Tome;960;144102;150,1;Africa;47;53;;;;;138;1,5;1000;3819;;40;8;19;0,01;11,5;64;67;Primary;Rural
Saudi Arabia;Riyadh;1960582;19418824;9,9;Asia;80;20;9162000;264000;37200000;5400000;0;0;10100;852;;14;30;55;0,05;34,5;61,7;65,2;Tertiary ;Urban
Senegal ;Dakar ;196190;9288101;47,3;Africa;42;58;;;;;14500;4,5;1600;17072;;9;;52;0;27,8;46,3;48,3;Tertiary ;Rural
Serbia / Montenegro ;Belgrade;102350;11158452;109;Europe;57;43;;;;;20600;4;2000;;;;;;;;;;;Urban
Seychelles;Victoria;455;73298;161,1;Oceania ;55;45;;;;;430;-2;6000;1397;;9;18;;0,19;16,9;67,3;74,2;Secondary;Urban
Sierra Leone;Freetown;71740;4878127;68;Africa;36;64;;;;;4400;-4;960;13150;;10;30;58;0;24,8;39,4;42,6;Tertiary ;Rural
Singapore ;Singapore ;633;2921107;4617,6;Asia;100;0;;;;;0;8,9;22900;837;;0;37;62;0,43;13,7;70,3;75,8;Tertiary ;Urban
Slovakia;Bratislava;48845;5461718;111,8;Europe;59;41;;;;;39000;6;7200;;;;;;;;;;;Urban
Slovenia;Ljubljana ;20296;2056446;101,3;Europe;64;36;;;;;22600;4,8;11000;;;;;;;;;;;Urban
Solomon Islands ;Honiara ;28450;412779;14,5;Oceania ;17;83;;;;;1000;8;2590;9852;;0;37;62;0,01;;;;Tertiary ;Rural
Somalia ;Mogadishu ;637660;8492303;13,3;Africa;26;74;;;;;3600;2;500;19071;;71;9;18;0;29,9;43,3;46,6;Primary;Rural
South Africa;Pretoria;1219912;46272450;37,9;Africa;51;49;;;;;215000;3,3;4800;1340;50;13;30;43;0,1;21,9;57,5;63,5;Tertiary ;Urban
Spain ;Madrid;504750;39510740;78,3;Europe;76;24;;;;;565000;3;14300;275;;11;31;50;0,08;2,5;73,6;79,7;Tertiary ;Urban
Sri Lanka ;Colombo ;65610;18553601;282,8;Asia;22;78;;;;;0;5;3600;7161;;40;17;25;0;15,1;68,7;72,9;Primary;Rural
Sudan ;Khartoum;2505810;30828250;12,3;Africa;55;45;;;;;25000;0;800;9369;;63;6;17;0;28,8;48,6;51;Primary;Urban
Suriname;Paramaribo;163270;436331;2,7;America ;50;50;;;;;0;0,7;2950;1798;;16;18;64;;17,1;;;Tertiary ;Urban
Swaziland ;Mbabane ;17360;998210;57,5;Africa;31;69;;;;;3600;2,6;3700;7971;33;18;17;34;;34,3;;;Tertiary ;Rural
Sweden;Stockholm ;449964;8862339;19,7;Europe;83;17;;;;;177300;3,5;20100;320;0;3;;;0,83;3;74;80,9;Primary;Urban
Syria ;Damascus;185180;16025183;86,5;Asia;52;48;605000;2500;;;0;4,4;5900;1347;;;26;51;0,04;37,6;63,2;66,9;Tertiary ;Urban
Tajikistan;Dushanbe;143100;6315516;44,1;Asia;32;68;;;;;0;-12,4;1040;;;;;;;32,2;;;;Rural
Tanzania;Dar es Salaam ;945090;29432954;31,1;Africa;24;76;;;;;23100;2,7;800;19775;;82;4;;0;36,5;51,3;54,7;Primary;Rural
Thailand;Bangkok ;514000;61018664;118,7;Asia;20;80;;;;;0;8,6;6900;4883;;;14;23;;11,8;63,2;67,3;Tertiary ;Rural
